id;order_id;product_id;quantity;is_in_stock
1;Harbor Montana;Corporate Phased relationships;75555;User-centric
2;Money Market Account;Salad Web virtual;63340;RSS
3;mint green e-business EXE;back-end;89609;support Gorgeous
4;withdrawal;copying;86073;Games
5;Iraq Bedfordshire;Concrete 24/7 Directives;32320;Mauritania
6;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;3688;Personal Loan Account
7;paradigms Home;Investor Public-key;14489;Berkshire Designer
8;Credit Card Account;navigate;23763;transmitter
9;Point Orchestrator;Solomon Islands Licensed;83530;installation
10;Argentine Peso;Kentucky Algerian Dinar Clothing;51209;Future-proofed deposit Sausages
